WorkCode,Uraian,Region,Kolom,"NILAI BENAR (web)","NILAI WORKBOOK",Selisih,"Baris di HSP","Baris blok di AHS"
XV.37,"Box Culvert 60x60x100 dengan lantai kerja f'c 10 Mpa per m'",3,JASA,448316,82336,+365980,774,13829
XIII.22,"Pemasangan Hand Shower ex Toto Set per buah",4,MATERIAL+OH,388800,388700,+100,631,11281
XV.12,"Perkerasan Beton SC 3,8 Mpa (setara f'c 30 Mpa) secara Semi Mekanis per m3",3,JASA,405715,554557,-148842,749,13369
XIII.12,"Pemasangan Kran diameter ½"" atau ¾"" ex TOTO per buah",3,MAT,287162,287000,+162,621,11106
XIII.20,"Pemasangan Shower + Tiang + Kran + Hand Shower ex Toto per buah",1,HARGA+OH,6030300,6030200,+100,629,11245
XII.62,"Pemasangan Instalasi Ceiling Speaker per titik",3,JASA,89775,89774,+1,584,10466
XII.83,"Pemasangan Kabel Power Exhaust Fan NYY 3 x 2,5mm2 per titik",1,MATERIAL+OH,4545600,888800,+3656800,605,10869
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",3,JASA+OH,209500,77600,+131900,14,164
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",3,HARGA+OH,209500,77600,+131900,14,164
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",2,HARGA+OH,209300,77600,+131700,14,164
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",3,JASA,182226,67523,+114703,14,164
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",2,JASA+OH,209300,77600,+131700,14,164
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",2,JASA,182070,67497,+114573,14,164
I.9,"Bongkar Pasangan Batu Kali secara Manual untuk Bangunan Gedung per m3",1,HARGA+OH,185200,73600,+111600,14,164
XV.40,"Box Culvert 150x150x100 dengan lantai kerja f'c 10 Mpa per m'",4,HARGA+OH,5412900,4546300,+866600,777,13883
